timestamp,metric,value
2026-04-24T23:57:16.792Z,domain_expertise,1
2026-04-24T23:57:16.792Z,latency_pr_overall_hours,40.67
2026-04-24T23:57:16.792Z,latency_pr_maintainers_hours,17.5
2026-04-24T23:57:16.792Z,latency_pr_community_hours,50.13
2026-04-24T23:57:16.792Z,latency_issue_overall_hours,48.52
2026-04-24T23:57:16.792Z,latency_issue_maintainers_hours,1.73
2026-04-24T23:57:16.792Z,latency_issue_community_hours,48.99
2026-04-24T23:57:16.792Z,open_issues,1000
2026-04-24T23:57:16.792Z,open_prs,490
2026-04-24T23:57:16.792Z,review_distribution_variance,0
2026-04-24T23:57:16.792Z,throughput_pr_overall_per_day,7.04
2026-04-24T23:57:16.792Z,throughput_pr_maintainers_per_day,2.07
2026-04-24T23:57:16.792Z,throughput_pr_community_per_day,5.03
2026-04-24T23:57:16.792Z,throughput_issue_overall_per_day,8.87
2026-04-24T23:57:16.792Z,throughput_issue_maintainers_per_day,0
2026-04-24T23:57:16.792Z,throughput_issue_community_per_day,8.78
2026-04-24T23:57:16.792Z,throughput_issue_overall_days_per_issue,0.11
2026-04-24T23:57:16.792Z,throughput_issue_maintainers_days_per_issue,0
2026-04-24T23:57:16.792Z,throughput_issue_community_days_per_issue,0.11
2026-04-24T23:57:16.792Z,time_to_first_response_overall_hours,1.55
2026-04-24T23:57:16.792Z,time_to_first_response_maintainers_hours,0.17
2026-04-24T23:57:16.792Z,time_to_first_response_1p_hours,0.01
2026-04-24T23:57:16.792Z,user_touches_overall,4.62
2026-04-24T23:57:16.792Z,user_touches_maintainers,5.27
2026-04-24T23:57:16.792Z,user_touches_community,4.51
